f,h,a,b_h,l_h,s,b_a,l_a
crz_tok,Cerezo Osaka,FC Tokyo,banner_crz.jpg,512_crz.png,stad_crz.jpg,banner_tok.jpg,512_tok.png
crz_gam,Cerezo Osaka,Gamba Osaka,banner_crz.jpg,512_crz.png,stad_crz.jpg,banner_gam.jpg,512_gam.png
crz_hok,Cerezo Osaka,Hokkaido Consadole Sapporo,banner_crz.jpg,512_crz.png,stad_crz.jpg,banner_hok.jpg,512_hok.png
crz_ant,Cerezo Osaka,Kashima Antlers,banner_crz.jpg,512_crz.png,stad_crz.jpg,banner_ant.jpg,512_ant.png
crz_rey,Cerezo Osaka,Kashiwa Reysol,banner_crz.jpg,512_crz.png,stad_crz.jpg,banner_rey.jpg,512_rey.png
crz_fro,Cerezo Osaka,Kawasaki Frontale,banner_crz.jpg,512_crz.png,stad_crz.jpg,banner_fro.jpg,512_fro.png
crz_nag,Cerezo Osaka,Nagoya Grampus,banner_crz.jpg,512_crz.png,stad_crz.jpg,banner_nag.jpg,512_nag.png
crz_oit,Cerezo Osaka,Oita Trinita,banner_crz.jpg,512_crz.png,stad_crz.jpg,banner_oit.jpg,512_oit.png
crz_sag,Cerezo Osaka,Sagan Tosu,banner_crz.jpg,512_crz.png,stad_crz.jpg,banner_sag.jpg,512_sag.png
crz_hir,Cerezo Osaka,Sanfrecce Hiroshima,banner_crz.jpg,512_crz.png,stad_crz.jpg,banner_hir.jpg,512_hir.png
crz_ssp,Cerezo Osaka,Shimizu S-Pulse,banner_crz.jpg,512_crz.png,stad_crz.jpg,banner_ssp.jpg,512_ssp.png
crz_sho,Cerezo Osaka,Shonan Bellmare,banner_crz.jpg,512_crz.png,stad_crz.jpg,banner_sho.jpg,512_sho.png
crz_ura,Cerezo Osaka,Urawa Red Diamonds,banner_crz.jpg,512_crz.png,stad_crz.jpg,banner_ura.jpg,512_ura.png
crz_veg,Cerezo Osaka,Vegalta Sendai,banner_crz.jpg,512_crz.png,stad_crz.jpg,banner_veg.jpg,512_veg.png
crz_vis,Cerezo Osaka,Vissel Kobe,banner_crz.jpg,512_crz.png,stad_crz.jpg,banner_vis.jpg,512_vis.png
crz_yfm,Cerezo Osaka,Yokohama F. Marinos,banner_crz.jpg,512_crz.png,stad_crz.jpg,banner_yfm.jpg,512_yfm.png
crz_yok,Cerezo Osaka,Yokohama FC,banner_crz.jpg,512_crz.png,stad_crz.jpg,banner_yok.jpg,512_yok.png
tok_crz,FC Tokyo,Cerezo Osaka,banner_tok.jpg,512_tok.png,stad_tok.jpg,banner_crz.jpg,512_crz.png
tok_gam,FC Tokyo,Gamba Osaka,banner_tok.jpg,512_tok.png,stad_tok.jpg,banner_gam.jpg,512_gam.png
tok_hok,FC Tokyo,Hokkaido Consadole Sapporo,banner_tok.jpg,512_tok.png,stad_tok.jpg,banner_hok.jpg,512_hok.png
tok_ant,FC Tokyo,Kashima Antlers,banner_tok.jpg,512_tok.png,stad_tok.jpg,banner_ant.jpg,512_ant.png
tok_rey,FC Tokyo,Kashiwa Reysol,banner_tok.jpg,512_tok.png,stad_tok.jpg,banner_rey.jpg,512_rey.png
tok_fro,FC Tokyo,Kawasaki Frontale,banner_tok.jpg,512_tok.png,stad_tok.jpg,banner_fro.jpg,512_fro.png
tok_nag,FC Tokyo,Nagoya Grampus,banner_tok.jpg,512_tok.png,stad_tok.jpg,banner_nag.jpg,512_nag.png
tok_oit,FC Tokyo,Oita Trinita,banner_tok.jpg,512_tok.png,stad_tok.jpg,banner_oit.jpg,512_oit.png
tok_sag,FC Tokyo,Sagan Tosu,banner_tok.jpg,512_tok.png,stad_tok.jpg,banner_sag.jpg,512_sag.png
tok_hir,FC Tokyo,Sanfrecce Hiroshima,banner_tok.jpg,512_tok.png,stad_tok.jpg,banner_hir.jpg,512_hir.png
tok_ssp,FC Tokyo,Shimizu S-Pulse,banner_tok.jpg,512_tok.png,stad_tok.jpg,banner_ssp.jpg,512_ssp.png
tok_sho,FC Tokyo,Shonan Bellmare,banner_tok.jpg,512_tok.png,stad_tok.jpg,banner_sho.jpg,512_sho.png
tok_ura,FC Tokyo,Urawa Red Diamonds,banner_tok.jpg,512_tok.png,stad_tok.jpg,banner_ura.jpg,512_ura.png
tok_veg,FC Tokyo,Vegalta Sendai,banner_tok.jpg,512_tok.png,stad_tok.jpg,banner_veg.jpg,512_veg.png
tok_vis,FC Tokyo,Vissel Kobe,banner_tok.jpg,512_tok.png,stad_tok.jpg,banner_vis.jpg,512_vis.png
tok_yfm,FC Tokyo,Yokohama F. Marinos,banner_tok.jpg,512_tok.png,stad_tok.jpg,banner_yfm.jpg,512_yfm.png
tok_yok,FC Tokyo,Yokohama FC,banner_tok.jpg,512_tok.png,stad_tok.jpg,banner_yok.jpg,512_yok.png
gam_crz,Gamba Osaka,Cerezo Osaka,banner_gam.jpg,512_gam.png,stad_gam.jpg,banner_crz.jpg,512_crz.png
gam_tok,Gamba Osaka,FC Tokyo,banner_gam.jpg,512_gam.png,stad_gam.jpg,banner_tok.jpg,512_tok.png
gam_hok,Gamba Osaka,Hokkaido Consadole Sapporo,banner_gam.jpg,512_gam.png,stad_gam.jpg,banner_hok.jpg,512_hok.png
gam_ant,Gamba Osaka,Kashima Antlers,banner_gam.jpg,512_gam.png,stad_gam.jpg,banner_ant.jpg,512_ant.png
gam_rey,Gamba Osaka,Kashiwa Reysol,banner_gam.jpg,512_gam.png,stad_gam.jpg,banner_rey.jpg,512_rey.png
gam_fro,Gamba Osaka,Kawasaki Frontale,banner_gam.jpg,512_gam.png,stad_gam.jpg,banner_fro.jpg,512_fro.png
gam_nag,Gamba Osaka,Nagoya Grampus,banner_gam.jpg,512_gam.png,stad_gam.jpg,banner_nag.jpg,512_nag.png
gam_oit,Gamba Osaka,Oita Trinita,banner_gam.jpg,512_gam.png,stad_gam.jpg,banner_oit.jpg,512_oit.png
gam_sag,Gamba Osaka,Sagan Tosu,banner_gam.jpg,512_gam.png,stad_gam.jpg,banner_sag.jpg,512_sag.png
gam_hir,Gamba Osaka,Sanfrecce Hiroshima,banner_gam.jpg,512_gam.png,stad_gam.jpg,banner_hir.jpg,512_hir.png
gam_ssp,Gamba Osaka,Shimizu S-Pulse,banner_gam.jpg,512_gam.png,stad_gam.jpg,banner_ssp.jpg,512_ssp.png
gam_sho,Gamba Osaka,Shonan Bellmare,banner_gam.jpg,512_gam.png,stad_gam.jpg,banner_sho.jpg,512_sho.png
gam_ura,Gamba Osaka,Urawa Red Diamonds,banner_gam.jpg,512_gam.png,stad_gam.jpg,banner_ura.jpg,512_ura.png
gam_veg,Gamba Osaka,Vegalta Sendai,banner_gam.jpg,512_gam.png,stad_gam.jpg,banner_veg.jpg,512_veg.png
gam_vis,Gamba Osaka,Vissel Kobe,banner_gam.jpg,512_gam.png,stad_gam.jpg,banner_vis.jpg,512_vis.png
gam_yfm,Gamba Osaka,Yokohama F. Marinos,banner_gam.jpg,512_gam.png,stad_gam.jpg,banner_yfm.jpg,512_yfm.png
gam_yok,Gamba Osaka,Yokohama FC,banner_gam.jpg,512_gam.png,stad_gam.jpg,banner_yok.jpg,512_yok.png
hok_crz,Hokkaido Consadole Sapporo,Cerezo Osaka,banner_hok.jpg,512_hok.png,stad_hok.jpg,banner_crz.jpg,512_crz.png
hok_tok,Hokkaido Consadole Sapporo,FC Tokyo,banner_hok.jpg,512_hok.png,stad_hok.jpg,banner_tok.jpg,512_tok.png
hok_gam,Hokkaido Consadole Sapporo,Gamba Osaka,banner_hok.jpg,512_hok.png,stad_hok.jpg,banner_gam.jpg,512_gam.png
hok_ant,Hokkaido Consadole Sapporo,Kashima Antlers,banner_hok.jpg,512_hok.png,stad_hok.jpg,banner_ant.jpg,512_ant.png
hok_rey,Hokkaido Consadole Sapporo,Kashiwa Reysol,banner_hok.jpg,512_hok.png,stad_hok.jpg,banner_rey.jpg,512_rey.png
hok_fro,Hokkaido Consadole Sapporo,Kawasaki Frontale,banner_hok.jpg,512_hok.png,stad_hok.jpg,banner_fro.jpg,512_fro.png
hok_nag,Hokkaido Consadole Sapporo,Nagoya Grampus,banner_hok.jpg,512_hok.png,stad_hok.jpg,banner_nag.jpg,512_nag.png
hok_oit,Hokkaido Consadole Sapporo,Oita Trinita,banner_hok.jpg,512_hok.png,stad_hok.jpg,banner_oit.jpg,512_oit.png
hok_sag,Hokkaido Consadole Sapporo,Sagan Tosu,banner_hok.jpg,512_hok.png,stad_hok.jpg,banner_sag.jpg,512_sag.png
hok_hir,Hokkaido Consadole Sapporo,Sanfrecce Hiroshima,banner_hok.jpg,512_hok.png,stad_hok.jpg,banner_hir.jpg,512_hir.png
hok_ssp,Hokkaido Consadole Sapporo,Shimizu S-Pulse,banner_hok.jpg,512_hok.png,stad_hok.jpg,banner_ssp.jpg,512_ssp.png
hok_sho,Hokkaido Consadole Sapporo,Shonan Bellmare,banner_hok.jpg,512_hok.png,stad_hok.jpg,banner_sho.jpg,512_sho.png
hok_ura,Hokkaido Consadole Sapporo,Urawa Red Diamonds,banner_hok.jpg,512_hok.png,stad_hok.jpg,banner_ura.jpg,512_ura.png
hok_veg,Hokkaido Consadole Sapporo,Vegalta Sendai,banner_hok.jpg,512_hok.png,stad_hok.jpg,banner_veg.jpg,512_veg.png
hok_vis,Hokkaido Consadole Sapporo,Vissel Kobe,banner_hok.jpg,512_hok.png,stad_hok.jpg,banner_vis.jpg,512_vis.png
hok_yfm,Hokkaido Consadole Sapporo,Yokohama F. Marinos,banner_hok.jpg,512_hok.png,stad_hok.jpg,banner_yfm.jpg,512_yfm.png
hok_yok,Hokkaido Consadole Sapporo,Yokohama FC,banner_hok.jpg,512_hok.png,stad_hok.jpg,banner_yok.jpg,512_yok.png
ant_crz,Kashima Antlers,Cerezo Osaka,banner_ant.jpg,512_ant.png,stad_ant.jpg,banner_crz.jpg,512_crz.png
ant_tok,Kashima Antlers,FC Tokyo,banner_ant.jpg,512_ant.png,stad_ant.jpg,banner_tok.jpg,512_tok.png
ant_gam,Kashima Antlers,Gamba Osaka,banner_ant.jpg,512_ant.png,stad_ant.jpg,banner_gam.jpg,512_gam.png
ant_hok,Kashima Antlers,Hokkaido Consadole Sapporo,banner_ant.jpg,512_ant.png,stad_ant.jpg,banner_hok.jpg,512_hok.png
ant_rey,Kashima Antlers,Kashiwa Reysol,banner_ant.jpg,512_ant.png,stad_ant.jpg,banner_rey.jpg,512_rey.png
ant_fro,Kashima Antlers,Kawasaki Frontale,banner_ant.jpg,512_ant.png,stad_ant.jpg,banner_fro.jpg,512_fro.png
ant_nag,Kashima Antlers,Nagoya Grampus,banner_ant.jpg,512_ant.png,stad_ant.jpg,banner_nag.jpg,512_nag.png
ant_oit,Kashima Antlers,Oita Trinita,banner_ant.jpg,512_ant.png,stad_ant.jpg,banner_oit.jpg,512_oit.png
ant_sag,Kashima Antlers,Sagan Tosu,banner_ant.jpg,512_ant.png,stad_ant.jpg,banner_sag.jpg,512_sag.png
ant_hir,Kashima Antlers,Sanfrecce Hiroshima,banner_ant.jpg,512_ant.png,stad_ant.jpg,banner_hir.jpg,512_hir.png
ant_ssp,Kashima Antlers,Shimizu S-Pulse,banner_ant.jpg,512_ant.png,stad_ant.jpg,banner_ssp.jpg,512_ssp.png
ant_sho,Kashima Antlers,Shonan Bellmare,banner_ant.jpg,512_ant.png,stad_ant.jpg,banner_sho.jpg,512_sho.png
ant_ura,Kashima Antlers,Urawa Red Diamonds,banner_ant.jpg,512_ant.png,stad_ant.jpg,banner_ura.jpg,512_ura.png
ant_veg,Kashima Antlers,Vegalta Sendai,banner_ant.jpg,512_ant.png,stad_ant.jpg,banner_veg.jpg,512_veg.png
ant_vis,Kashima Antlers,Vissel Kobe,banner_ant.jpg,512_ant.png,stad_ant.jpg,banner_vis.jpg,512_vis.png
ant_yfm,Kashima Antlers,Yokohama F. Marinos,banner_ant.jpg,512_ant.png,stad_ant.jpg,banner_yfm.jpg,512_yfm.png
ant_yok,Kashima Antlers,Yokohama FC,banner_ant.jpg,512_ant.png,stad_ant.jpg,banner_yok.jpg,512_yok.png
rey_crz,Kashiwa Reysol,Cerezo Osaka,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_crz.jpg,512_crz.png
rey_tok,Kashiwa Reysol,FC Tokyo,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_tok.jpg,512_tok.png
rey_gam,Kashiwa Reysol,Gamba Osaka,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_gam.jpg,512_gam.png
rey_hok,Kashiwa Reysol,Hokkaido Consadole Sapporo,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_hok.jpg,512_hok.png
rey_ant,Kashiwa Reysol,Kashima Antlers,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_ant.jpg,512_ant.png
rey_fro,Kashiwa Reysol,Kawasaki Frontale,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_fro.jpg,512_fro.png
rey_nag,Kashiwa Reysol,Nagoya Grampus,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_nag.jpg,512_nag.png
rey_oit,Kashiwa Reysol,Oita Trinita,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_oit.jpg,512_oit.png
rey_sag,Kashiwa Reysol,Sagan Tosu,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_sag.jpg,512_sag.png
rey_hir,Kashiwa Reysol,Sanfrecce Hiroshima,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_hir.jpg,512_hir.png
rey_ssp,Kashiwa Reysol,Shimizu S-Pulse,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_ssp.jpg,512_ssp.png
rey_sho,Kashiwa Reysol,Shonan Bellmare,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_sho.jpg,512_sho.png
rey_ura,Kashiwa Reysol,Urawa Red Diamonds,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_ura.jpg,512_ura.png
rey_veg,Kashiwa Reysol,Vegalta Sendai,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_veg.jpg,512_veg.png
rey_vis,Kashiwa Reysol,Vissel Kobe,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_vis.jpg,512_vis.png
rey_yfm,Kashiwa Reysol,Yokohama F. Marinos,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_yfm.jpg,512_yfm.png
rey_yok,Kashiwa Reysol,Yokohama FC,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_yok.jpg,512_yok.png
fro_crz,Kawasaki Frontale,Cerezo Osaka,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_crz.jpg,512_crz.png
fro_tok,Kawasaki Frontale,FC Tokyo,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_tok.jpg,512_tok.png
fro_gam,Kawasaki Frontale,Gamba Osaka,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_gam.jpg,512_gam.png
fro_hok,Kawasaki Frontale,Hokkaido Consadole Sapporo,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_hok.jpg,512_hok.png
fro_ant,Kawasaki Frontale,Kashima Antlers,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_ant.jpg,512_ant.png
fro_rey,Kawasaki Frontale,Kashiwa Reysol,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_rey.jpg,512_rey.png
fro_nag,Kawasaki Frontale,Nagoya Grampus,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_nag.jpg,512_nag.png
fro_oit,Kawasaki Frontale,Oita Trinita,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_oit.jpg,512_oit.png
fro_sag,Kawasaki Frontale,Sagan Tosu,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_sag.jpg,512_sag.png
fro_hir,Kawasaki Frontale,Sanfrecce Hiroshima,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_hir.jpg,512_hir.png
fro_ssp,Kawasaki Frontale,Shimizu S-Pulse,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_ssp.jpg,512_ssp.png
fro_sho,Kawasaki Frontale,Shonan Bellmare,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_sho.jpg,512_sho.png
fro_ura,Kawasaki Frontale,Urawa Red Diamonds,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_ura.jpg,512_ura.png
fro_veg,Kawasaki Frontale,Vegalta Sendai,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_veg.jpg,512_veg.png
fro_vis,Kawasaki Frontale,Vissel Kobe,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_vis.jpg,512_vis.png
fro_yfm,Kawasaki Frontale,Yokohama F. Marinos,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_yfm.jpg,512_yfm.png
fro_yok,Kawasaki Frontale,Yokohama FC,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_yok.jpg,512_yok.png
nag_crz,Nagoya Grampus,Cerezo Osaka,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_crz.jpg,512_crz.png
nag_tok,Nagoya Grampus,FC Tokyo,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_tok.jpg,512_tok.png
nag_gam,Nagoya Grampus,Gamba Osaka,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_gam.jpg,512_gam.png
nag_hok,Nagoya Grampus,Hokkaido Consadole Sapporo,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_hok.jpg,512_hok.png
nag_ant,Nagoya Grampus,Kashima Antlers,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_ant.jpg,512_ant.png
nag_rey,Nagoya Grampus,Kashiwa Reysol,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_rey.jpg,512_rey.png
nag_fro,Nagoya Grampus,Kawasaki Frontale,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_fro.jpg,512_fro.png
nag_oit,Nagoya Grampus,Oita Trinita,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_oit.jpg,512_oit.png
nag_sag,Nagoya Grampus,Sagan Tosu,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_sag.jpg,512_sag.png
nag_hir,Nagoya Grampus,Sanfrecce Hiroshima,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_hir.jpg,512_hir.png
nag_ssp,Nagoya Grampus,Shimizu S-Pulse,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_ssp.jpg,512_ssp.png
nag_sho,Nagoya Grampus,Shonan Bellmare,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_sho.jpg,512_sho.png
nag_ura,Nagoya Grampus,Urawa Red Diamonds,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_ura.jpg,512_ura.png
nag_veg,Nagoya Grampus,Vegalta Sendai,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_veg.jpg,512_veg.png
nag_vis,Nagoya Grampus,Vissel Kobe,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_vis.jpg,512_vis.png
nag_yfm,Nagoya Grampus,Yokohama F. Marinos,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_yfm.jpg,512_yfm.png
nag_yok,Nagoya Grampus,Yokohama FC,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_yok.jpg,512_yok.png
oit_crz,Oita Trinita,Cerezo Osaka,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_crz.jpg,512_crz.png
oit_tok,Oita Trinita,FC Tokyo,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_tok.jpg,512_tok.png
oit_gam,Oita Trinita,Gamba Osaka,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_gam.jpg,512_gam.png
oit_hok,Oita Trinita,Hokkaido Consadole Sapporo,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_hok.jpg,512_hok.png
oit_ant,Oita Trinita,Kashima Antlers,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_ant.jpg,512_ant.png
oit_rey,Oita Trinita,Kashiwa Reysol,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_rey.jpg,512_rey.png
oit_fro,Oita Trinita,Kawasaki Frontale,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_fro.jpg,512_fro.png
oit_nag,Oita Trinita,Nagoya Grampus,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_nag.jpg,512_nag.png
oit_sag,Oita Trinita,Sagan Tosu,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_sag.jpg,512_sag.png
oit_hir,Oita Trinita,Sanfrecce Hiroshima,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_hir.jpg,512_hir.png
oit_ssp,Oita Trinita,Shimizu S-Pulse,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_ssp.jpg,512_ssp.png
oit_sho,Oita Trinita,Shonan Bellmare,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_sho.jpg,512_sho.png
oit_ura,Oita Trinita,Urawa Red Diamonds,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_ura.jpg,512_ura.png
oit_veg,Oita Trinita,Vegalta Sendai,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_veg.jpg,512_veg.png
oit_vis,Oita Trinita,Vissel Kobe,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_vis.jpg,512_vis.png
oit_yfm,Oita Trinita,Yokohama F. Marinos,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_yfm.jpg,512_yfm.png
oit_yok,Oita Trinita,Yokohama FC,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_yok.jpg,512_yok.png
